"id","product_name","product_price","pdate","cname","uname"
"36","2 APPLE","1","2026-04-06","Food","sam@gmail.com"
"37","BANANA","1.2","2026-04-06","Food","sam@gmail.com"
"38","PROTEIN C0OKIE","1.8","2026-04-07","Food","sam@gmail.com"
"42","PROCECC0","7","2026-04-07","Travel","sam@gmail.com"
"43","Tesco Pure Suntlower 0i 31","4.75","2026-04-19","Food","sam@gmail.com"
"44","Tesco Basmati Rice","17.7","2026-04-19","Food","sam@gmail.com"
"45","TUTHILLS","3.5","2026-04-21","Food","jsr@gmail.com"
"47","DUNDRUM","3.5","2026-04-21","Food","jsr@gmail.com"
"48","lotto","6","2026-04-22","Others","jsr@gmail.com"
"49","Spice","1.85","2026-04-22","Food","jsr@gmail.com"
"57","Tesco Chargrilled Vegetable","1.5","2026-04-26","Food","jsr@gmail.com"
"58","Tesco Basil Pesto, Tomato And","0.6","2026-04-26","Food","jsr@gmail.com"
"59","Couscous 200g","0.33","2026-04-26","Food","jsr@gmail.com"
"60","Speci al 0ffer","2.65","2026-04-26","Food","jsr@gmail.com"
"61","Mozzarella Pasta 2199","0.15","2026-04-26","Food","jsr@gmail.com"
"63","1K1P12 DOWN WASH DIRECT 300ml","11","2026-04-26","Food","jsr@gmail.com"
"70","1K1P12 DOWN WASH DIRECT 300ml","9.5","2026-04-26","Others","jsr@gmail.com"
"74","Tesco Chargrilled Vegetabl e","0.38","2026-04-26","Electronics","jsr@gmail.com"
"75","Mouse","63.5","2026-04-26","Electronics","jsr@gmail.com"
"76","Couscous 200g","1.5","2026-04-26","Electronics","jsr@gmail.com"
"77","Tesco Basil","2.65","2026-04-26","Electronics","jsr@gmail.com"
"78","Mozzarella Pasta 219g","0.6","2026-04-26","Electronics","jsr@gmail.com"
"79","Special Offer","0.33","2026-04-26","Electronics","jsr@gmail.com"
"80","1 Silk Cut Blue 20","19.5","2026-04-27","Grocery","jsr@gmail.com"
"81","1 Coke Zlero 500ml","2.8","2026-04-27","Grocery","jsr@gmail.com"
"82","Burger","120","2026-05-01","Food","jsr@gmail.com"
"83","Milk","60","2026-04-30","Grocery","jsr@gmail.com"
"84","Bus Ticket","40","2026-04-29","Travel","jsr@gmail.com"
"85","Earphones","800","2026-04-28","Electronics","jsr@gmail.com"
"86","Tea","20","2026-04-27","Food","jsr@gmail.com"
"87","Rice","250","2026-04-26","Grocery","jsr@gmail.com"
"88","Auto Ride","70","2026-04-25","Travel","jsr@gmail.com"
"89","Mobile Charger","500","2026-04-24","Electronics","jsr@gmail.com"
"90","Snacks","90","2026-04-23","Food","jsr@gmail.com"
"91","Vegetables","180","2026-04-22","Grocery","jsr@gmail.com"
"92","Taxi","200","2026-04-21","Travel","jsr@gmail.com"
"93","Headphones","1200","2026-04-20","Electronics","jsr@gmail.com"
"94","Pizza","300","2026-04-19","Food","jsr@gmail.com"
"95","Bread","45","2026-04-18","Grocery","jsr@gmail.com"
"96","Train Ticket","150","2026-04-17","Travel","jsr@gmail.com"
"97","Power Bank","1500","2026-04-16","Electronics","jsr@gmail.com"
"98","Coffee","80","2026-04-15","Food","jsr@gmail.com"
"99","Fruits","220","2026-04-14","Grocery","jsr@gmail.com"
"100","Metro Ticket","50","2026-04-13","Travel","jsr@gmail.com"
"101","Mouse","600","2026-04-12","Electronics","jsr@gmail.com"
"102","Ice Cream","70","2026-04-11","Food","jsr@gmail.com"
"103","Oil","180","2026-04-10","Grocery","jsr@gmail.com"
"104","Cab Ride","250","2026-04-09","Travel","jsr@gmail.com"
"105","Keyboard","900","2026-04-08","Electronics","jsr@gmail.com"
"106","Dosa","100","2026-04-07","Food","jsr@gmail.com"
"107","Soap","40","2026-04-06","Grocery","jsr@gmail.com"
"108","Flight Ticket","5000","2026-04-05","Travel","jsr@gmail.com"
"109","Smart Watch","2500","2026-04-04","Electronics","jsr@gmail.com"
"110","Juice","60","2026-04-03","Food","jsr@gmail.com"
"111","Notebook","90","2026-04-02","Others","jsr@gmail.com"
